kernel,config,latency,lut,dsp,ff,II,IL
atax,tmp_1_1_A_1_1_A_2_1_x_1_1_y_1_1__lp1_n_1_f_lp2_n_1_f_lp3_n_1_f_lp4_n_1_f,78213.0,846.0,5.0,754.0,579.0,579.0
atax,tmp_1_2_A_1_2_A_2_1_x_1_1_y_1_1__lp1_n_1_f_lp2_n_1_f_lp3_n_2_f_lp4_n_1_f,78181.0,1121.0,5.0,860.0,579.0,579.0
atax,tmp_1_1_A_1_2_A_2_4_x_1_1_y_1_4__lp1_n_1_f_lp2_n_1_f_lp3_n_2_n_lp4_p_4_n,38885.0,3143.0,20.0,3446.0,579.0,579.0
atax,tmp_1_2_A_1_2_A_2_8_x_1_2_y_1_8__lp1_n_2_f_lp2_n_2_f_lp3_n_2_n_lp4_p_8_n,28101.0,6066.0,40.0,6715.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_2_y_1_8__lp1_n_2_f_lp2_n_2_f_lp3_n_2_n_lp4_p_8_n,29637.0,3490.0,10.0,3678.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_16_x_1_2_y_1_16__lp1_n_2_f_lp2_n_2_f_lp3_n_2_f_lp4_p_16_f,27845.0,11274.0,80.0,12644.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_2_y_1_16__lp1_n_2_f_lp2_n_2_f_lp3_n_2_f_lp4_p_16_f,29637.0,3994.0,10.0,3248.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_16_x_1_2_y_1_16__lp1_n_2_f_lp2_n_2_f_lp3_n_2_n_lp4_p_16_n,27845.0,11274.0,80.0,12644.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_2_y_1_16__lp1_n_2_f_lp2_n_2_f_lp3_n_2_n_lp4_p_16_n,29637.0,3994.0,10.0,3248.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_64_x_1_2_y_1_64__lp1_n_2_f_lp2_n_2_f_lp3_p_1_f_lp4_p_64_f,26989.0,16284.0,110.0,20651.0,837.0,837.0
atax,tmp_1_2_A_1_2_A_2_2_x_1_2_y_1_64__lp1_n_2_f_lp2_n_2_f_lp3_p_1_f_lp4_p_64_f,28845.0,4394.0,10.0,7634.0,837.0,837.0
atax,tmp_1_2_A_1_1_A_2_64_x_1_2_y_1_64__lp1_n_2_f_lp2_n_2_f_lp3_p_1_f_lp4_p_64_f,26989.0,14818.0,110.0,20651.0,837.0,837.0
atax,tmp_1_2_A_1_1_A_2_2_x_1_2_y_1_64__lp1_n_2_f_lp2_n_2_f_lp3_p_1_f_lp4_p_64_f,28845.0,3523.0,10.0,5592.0,837.0,837.0
