kernel,config,latency,lut,dsp,ff,II,IL
atax,A_1_1_A_2_1_y_1_2__lp4_p_2_f,77.0,680.0,5.0,833.0,2.0,10.0
atax,tmp_1_1_A_1_1_A_2_4_y_1_4__lp3_n_1_f_lp4_p_4_f,1035.0,1716.0,20.0,2351.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_16_y_1_1__lp3_n_1_f_lp4_p_1_f,4108.0,816.0,5.0,727.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_16_y_1_1__lp3_n_1_f_lp4_p_1_f,4108.0,735.0,5.0,733.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_16_y_1_1__lp3_n_1_f_lp4_p_1_f,4107.0,693.0,5.0,639.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_16_y_1_2__lp3_n_1_f_lp4_p_2_f,2060.0,1356.0,10.0,1346.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_16_y_1_2__lp3_n_1_f_lp4_p_2_f,2060.0,1201.0,10.0,1352.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_16_y_1_2__lp3_n_1_f_lp4_p_2_f,2059.0,1233.0,10.0,1258.0,1.0,9.0
atax,A_1_1_A_2_4_y_1_4__lp4_p_4_f,29.0,1642.0,20.0,2345.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_16_y_1_4__lp3_n_1_f_lp4_p_4_f,1036.0,2395.0,20.0,2444.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_16_y_1_4__lp3_n_1_f_lp4_p_4_f,1036.0,2092.0,20.0,2450.0,1.0,10.0
atax,tmp_1_1_A_1_2_A_2_16_y_1_4__lp3_n_1_f_lp4_p_4_f,1035.0,2272.0,20.0,2356.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_16_y_1_8__lp3_n_1_f_lp4_p_8_f,524.0,3954.0,40.0,4632.0,1.0,10.0
atax,tmp_1_2_A_1_1_A_2_16_y_1_8__lp3_n_1_f_lp4_p_8_f,524.0,3619.0,40.0,4638.0,1.0,10.0
atax,tmp_1_1_A_1_1_A_2_1_y_1_4__lp3_n_1_f_lp4_p_4_f,4107.0,854.0,5.0,1064.0,4.0,12.0
atax,tmp_1_1_A_1_2_A_2_16_y_1_8__lp3_n_1_f_lp4_p_8_f,523.0,3831.0,40.0,4547.0,1.0,9.0
atax,tmp_1_2_A_1_2_A_2_16_y_1_64__lp3_p_1_f_lp4_p_64_f,266.0,9102.0,80.0,13931.0,4.0,11.0
atax,tmp_1_2_A_1_1_A_2_16_y_1_64__lp3_p_1_f_lp4_p_64_f,266.0,8113.0,80.0,12396.0,4.0,11.0
atax,tmp_1_1_A_1_2_A_2_16_y_1_64__lp3_p_1_f_lp4_p_64_f,266.0,9093.0,80.0,13931.0,4.0,11.0
atax,A_1_1_A_2_1_y_1_4__lp4_p_4_f,77.0,766.0,5.0,1024.0,4.0,12.0
atax,A_1_1_A_2_1_x_1_1__lp2_p_1_f,203.0,518.0,5.0,558.0,3.0,8.0
atax,A_1_1_A_2_2_x_1_1__lp2_p_1_f,203.0,508.0,5.0,554.0,3.0,8.0
atax,A_1_1_A_2_4_x_1_1__lp2_p_1_f,203.0,519.0,5.0,556.0,3.0,8.0
atax,A_1_1_A_2_8_x_1_1__lp2_p_1_f,203.0,542.0,5.0,558.0,3.0,8.0
atax,A_1_1_A_2_16_x_1_1__lp2_p_1_f,203.0,564.0,5.0,560.0,3.0,8.0
atax,A_1_2_A_2_1_x_1_1__lp2_p_1_f,203.0,535.0,5.0,567.0,3.0,8.0
atax,A_1_2_A_2_2_x_1_1__lp2_p_1_f,203.0,535.0,5.0,559.0,3.0,8.0
atax,A_1_2_A_2_4_x_1_1__lp2_p_1_f,203.0,557.0,5.0,561.0,3.0,8.0
atax,A_1_2_A_2_8_x_1_1__lp2_p_1_f,203.0,603.0,5.0,563.0,3.0,8.0
atax,A_1_2_A_2_16_x_1_1__lp2_p_1_f,203.0,647.0,5.0,565.0,3.0,8.0
atax,tmp_1_1_A_1_1_A_2_8_y_1_8__lp3_n_1_f_lp4_p_8_f,523.0,3238.0,40.0,4545.0,1.0,9.0
atax,A_1_1_A_2_64_x_1_1__lp2_p_1_f,203.0,772.0,5.0,2600.0,3.0,8.0
atax,A_1_2_A_2_64_x_1_1__lp2_p_1_f,203.0,1063.0,5.0,4653.0,3.0,8.0
atax,A_1_1_A_2_8_y_1_8__lp4_p_8_f,21.0,3166.0,40.0,4541.0,1.0,9.0
atax,tmp_1_1_A_1_1_A_2_1_y_1_8__lp3_n_1_f_lp4_p_8_f,4107.0,831.0,5.0,968.0,8.0,16.0
atax,A_1_1_A_2_1_y_1_8__lp4_p_8_f,77.0,745.0,5.0,929.0,8.0,16.0
atax,A_1_1_A_2_2_x_1_2__lp2_p_2_f,266.0,573.0,5.0,683.0,8.0,12.0
atax,A_1_1_A_2_1_x_1_2__lp2_p_2_f,266.0,612.0,5.0,662.0,8.0,12.0
atax,A_1_1_A_2_4_x_1_2__lp2_p_2_f,266.0,601.0,5.0,686.0,8.0,12.0
atax,A_1_1_A_2_8_x_1_2__lp2_p_2_f,266.0,647.0,5.0,688.0,8.0,12.0
atax,A_1_1_A_2_16_x_1_2__lp2_p_2_f,266.0,703.0,5.0,690.0,8.0,12.0
atax,A_1_2_A_2_2_x_1_2__lp2_p_2_f,266.0,600.0,5.0,688.0,8.0,12.0
atax,A_1_2_A_2_1_x_1_2__lp2_p_2_f,266.0,652.0,5.0,703.0,8.0,12.0
atax,A_1_2_A_2_4_x_1_2__lp2_p_2_f,266.0,656.0,5.0,691.0,8.0,12.0
atax,A_1_2_A_2_8_x_1_2__lp2_p_2_f,266.0,748.0,5.0,693.0,8.0,12.0
atax,A_1_2_A_2_16_x_1_2__lp2_p_2_f,266.0,860.0,5.0,695.0,8.0,12.0
atax,tmp_1_1_A_1_1_A_2_16_y_1_16__lp3_n_1_f_lp4_p_16_f,523.0,4009.0,40.0,5858.0,2.0,10.0
atax,A_1_1_A_2_64_x_1_2__lp2_p_2_f,266.0,1111.0,5.0,2730.0,8.0,12.0
atax,A_1_2_A_2_64_x_1_2__lp2_p_2_f,266.0,1676.0,5.0,4783.0,8.0,12.0
atax,A_1_1_A_2_16_y_1_16__lp4_p_16_f,17.0,6214.0,80.0,8925.0,1.0,9.0
atax,tmp_1_1_A_1_1_A_2_1_y_1_16__lp3_n_1_f_lp4_p_16_f,4107.0,997.0,5.0,1229.0,16.0,24.0
atax,A_1_1_A_2_1_y_1_16__lp4_p_16_f,77.0,912.0,5.0,1191.0,16.0,24.0
atax,A_1_1_A_2_4_x_1_4__lp2_p_4_f,266.0,641.0,5.0,884.0,16.0,20.0
atax,A_1_1_A_2_1_x_1_4__lp2_p_4_f,266.0,704.0,5.0,798.0,16.0,20.0
atax,A_1_1_A_2_2_x_1_4__lp2_p_4_f,266.0,674.0,5.0,856.0,16.0,20.0
atax,A_1_1_A_2_8_x_1_4__lp2_p_4_f,266.0,777.0,5.0,886.0,16.0,20.0
atax,A_1_1_A_2_16_x_1_4__lp2_p_4_f,266.0,901.0,5.0,890.0,16.0,20.0
atax,A_1_2_A_2_4_x_1_4__lp2_p_4_f,266.0,686.0,5.0,889.0,16.0,20.0
atax,A_1_2_A_2_1_x_1_4__lp2_p_4_f,266.0,774.0,5.0,903.0,16.0,20.0
atax,A_1_2_A_2_2_x_1_4__lp2_p_4_f,266.0,747.0,5.0,898.0,16.0,20.0
atax,A_1_2_A_2_8_x_1_4__lp2_p_4_f,266.0,950.0,5.0,891.0,16.0,20.0
atax,A_1_2_A_2_16_x_1_4__lp2_p_4_f,266.0,1206.0,5.0,895.0,16.0,20.0
atax,A_1_1_A_2_64_x_1_4__lp2_p_4_f,266.0,1689.0,5.0,2930.0,16.0,20.0
atax,A_1_2_A_2_64_x_1_4__lp2_p_4_f,266.0,2782.0,5.0,4983.0,16.0,20.0
atax,A_1_2_A_2_1_y_1_1__lp4_p_1_f,77.0,514.0,5.0,635.0,1.0,9.0
atax,A_1_1_A_2_8_x_1_8__lp2_p_8_f,266.0,775.0,5.0,1253.0,32.0,36.0
